Journal,ISSN,Article Title,Language,Year,Month,Day,Number of Pages,DOI,Number of Authors
International Journal of Molecular Sciences,14220067,Diet-Independent Correlations between Bacteria and Dysfunction of Gut Adipose Tissue and Liver: A Comprehensive Microbiota Analysis in Feces and Mucosa of the Ileum and Colon in Obese Mice with NAFLD,en,2018,12,20,20,https://doi.org/10.3390/ijms20010001,10
International Journal of Molecular Sciences,14220067,CircSMARCA5 Inhibits Migration of Glioblastoma Multiforme Cells by Regulating a Molecular Axis Involving Splicing Factors SRSF1/SRSF3/PTB,en,2018,2,6,13,https://doi.org/10.3390/ijms19020480,13
International Journal of Molecular Sciences,14220067,Acetylation Disfavors Tau Phase Separation,en,2018,5,4,12,https://doi.org/10.3390/ijms19051360,7
International Journal of Molecular Sciences,14220067,Molecular Evolution of Chloroplast Genomes of Orchid Species: Insights into Phylogenetic Relationship and Adaptive Evolution,en,2018,3,2,20,https://doi.org/10.3390/ijms19030716,6
International Journal of Molecular Sciences,14220067,Bioactive Peptides from Germinated Soybean with Anti-Diabetic Potential by Inhibition of Dipeptidyl Peptidase-IV α-Amylase and α-Glucosidase Enzymes,en,2018,9,22,14,https://doi.org/10.3390/ijms19102883,4
International Journal of Molecular Sciences,14220067,CA 19-9 Pancreatic Tumor Marker Fluorescence Immunosensing Detection via Immobilized Carbon Quantum Dots Conjugated Gold Nanocomposite,en,2018,4,11,16,https://doi.org/10.3390/ijms19041162,3
International Journal of Molecular Sciences,14220067,Regulation of Macrophage Activation and Polarization by HCC-Derived Exosomal lncRNA TUC339,en,2018,9,28,19,https://doi.org/10.3390/ijms19102958,4
International Journal of Molecular Sciences,14220067,Effects of Different Metals on Photosynthesis: Cadmium and Zinc Affect Chlorophyll Fluorescence in Durum Wheat,en,2018,3,9,13,https://doi.org/10.3390/ijms19030787,5
IEEE Access,21693536,Wireless Communications Through Reconfigurable Intelligent Surfaces,en,2019,1,1,21,https://doi.org/10.1109/access.2019.2935192,6
IEEE Access,21693536,Wireless Communications and Applications Above 100 GHz: Opportunities and Challenges for 6G and Beyond,en,2019,1,1,29,https://doi.org/10.1109/access.2019.2921522,8
International Journal of Molecular Sciences,14220067,Development of a Gut-on-a-Chip Model for High Throughput Disease Modeling and Drug Discovery,en,2019,11,12,23,https://doi.org/10.3390/ijms20225661,15
International Journal of Molecular Sciences,14220067,c-Met and PD-L1 on Circulating Exosomes as Diagnostic and Prognostic Markers for Pancreatic Cancer,en,2019,7,5,12,https://doi.org/10.3390/ijms20133305,4
IEEE Access,21693536,Unmanned Aerial Vehicles (UAVs): A Survey on Civil Applications and Key Research Challenges,en,2019,1,1,63,https://doi.org/10.1109/access.2019.2909530,9
International Journal of Molecular Sciences,14220067,Vascularized Bone-Mimetic Hydrogel Constructs by 3D Bioprinting to Promote Osteogenesis and Angiogenesis,en,2019,3,4,11,https://doi.org/10.3390/ijms20051096,7
International Journal of Molecular Sciences,14220067,Conditioned Medium from Human Mesenchymal Stromal Cells: Towards the Clinical Translation,en,2019,4,3,16,https://doi.org/10.3390/ijms20071656,7
International Journal of Molecular Sciences,14220067,PMN-MDSCs Enhance CTC Metastatic Properties through Reciprocal Interactions via ROS/Notch/Nodal Signaling,en,2019,4,18,20,https://doi.org/10.3390/ijms20081916,12
IEEE Access,21693536,Review of Deep Learning Algorithms and Architectures,en,2019,1,1,26,https://doi.org/10.1109/access.2019.2912200,2
International Journal of Molecular Sciences,14220067,Targeting the 16S rRNA Gene for Bacterial Identification in Complex Mixed Samples: Comparative Evaluation of Second (Illumina) and Third (Oxford Nanopore Technologies) Generation Sequencing Technologies,en,2019,12,31,22,https://doi.org/10.3390/ijms21010298,10
IEEE Access,21693536,Deep Learning Approach for Intelligent Intrusion Detection System,en,2019,1,1,26,https://doi.org/10.1109/access.2019.2895334,6
International Journal of Molecular Sciences,14220067,The Application of Selenium and Copper Nanoparticles Modifies the Biochemical Responses of Tomato Plants under Stress by Alternaria solani,en,2019,4,20,16,https://doi.org/10.3390/ijms20081950,8
International Journal of Molecular Sciences,14220067,BIOPEP-UWM Database of Bioactive Peptides: Current Opportunities,en,2019,11,27,23,https://doi.org/10.3390/ijms20235978,3
International Journal of Molecular Sciences,14220067,Transgene-Free Genome Editing in Tomato and Potato Plants Using Agrobacterium-Mediated Delivery of a CRISPR/Cas9 Cytidine Base Editor,en,2019,1,18,10,https://doi.org/10.3390/ijms20020402,8
International Journal of Molecular Sciences,14220067,Chitosan Ameliorates DSS-Induced Ulcerative Colitis Mice by Enhancing Intestinal Barrier Function and Improving Microflora,en,2019,11,15,12,https://doi.org/10.3390/ijms20225751,4
International Journal of Molecular Sciences,14220067,Exogenous Melatonin Counteracts NaCl-Induced Damage by Regulating the Antioxidant System Proline and Carbohydrates Metabolism in Tomato Seedlings,en,2019,1,16,23,https://doi.org/10.3390/ijms20020353,8
International Journal of Molecular Sciences,14220067,Quercetin Inhibits the Production of IL-1β-Induced Inflammatory Cytokines and Chemokines in ARPE-19 Cells via the MAPK and NF-κB Signaling Pathways,en,2019,6,17,24,https://doi.org/10.3390/ijms20122957,5
International Journal of Molecular Sciences,14220067,m6A Reader YTHDF2 Regulates LPS-Induced Inflammatory Response,en,2019,3,15,12,https://doi.org/10.3390/ijms20061323,5
International Journal of Molecular Sciences,14220067,Gut Microbiota and Predicted Metabolic Pathways in a Sample of Mexican Women Affected by Obesity and Obesity Plus Metabolic Syndrome,en,2019,1,21,18,https://doi.org/10.3390/ijms20020438,7
International Journal of Molecular Sciences,14220067,Moderate Physical Activity as a Prevention Method for Knee Osteoarthritis and the Role of Synoviocytes as Biological Key,en,2019,1,25,17,https://doi.org/10.3390/ijms20030511,10
International Journal of Molecular Sciences,14220067,Comparing the Osteogenic Potentials and Bone Regeneration Capacities of Bone Marrow and Dental Pulp Mesenchymal Stem Cells in a Rabbit Calvarial Bone Defect Model,en,2019,10,10,17,https://doi.org/10.3390/ijms20205015,5
International Journal of Molecular Sciences,14220067,mACPpred: A Support Vector Machine-Based Meta-Predictor for Identification of Anticancer Peptides,en,2019,4,22,14,https://doi.org/10.3390/ijms20081964,6
International Journal of Molecular Sciences,14220067,Role of PD-L1 Expression in Non-Small Cell Lung Cancer and Their Prognostic Significance according to Clinicopathological Factors and Diagnostic Markers,en,2019,2,14,15,https://doi.org/10.3390/ijms20040824,9
International Journal of Molecular Sciences,14220067,Chemi-Net: A Molecular Graph Convolutional Network for Accurate Drug Property Prediction,en,2019,7,10,17,https://doi.org/10.3390/ijms20143389,10
IEEE Access,21693536,Multi-Classification of Brain Tumor Images Using Deep Neural Network,en,2019,1,1,11,https://doi.org/10.1109/access.2019.2919122,3
IEEE Access,21693536,Blockchain-Based Soybean Traceability in Agricultural Supply Chain,en,2019,1,1,11,https://doi.org/10.1109/access.2019.2918000,4
IEEE Access,21693536,The Real-World-Weight Cross-Entropy Loss Function: Modeling the Costs of Mislabeling,en,2019,12,27,8,https://doi.org/10.1109/access.2019.2962617,2
IEEE Access,21693536,Real-Time Detection of Apple Leaf Diseases Using Deep Learning Approach Based on Improved Convolutional Neural Networks,en,2019,1,1,12,https://doi.org/10.1109/access.2019.2914929,5
IEEE Access,21693536,A Survey on the Role of IoT in Agriculture for the Implementation of Smart Farming,en,2019,1,1,35,https://doi.org/10.1109/access.2019.2949703,5
IEEE Access,21693536,5G Evolution: A View on 5G Cellular Technology Beyond 3GPP Release 15,en,2019,1,1,13,https://doi.org/10.1109/access.2019.2939938,4
IEEE Access,21693536,BadNets: Evaluating Backdooring Attacks on Deep Neural Networks,en,2019,1,1,15,https://doi.org/10.1109/access.2019.2909068,4
IEEE Access,21693536,Blockchain for AI: Review and Open Research Challenges,en,2019,1,1,23,https://doi.org/10.1109/access.2018.2890507,4
IEEE Access,21693536,A Survey on Consensus Mechanisms and Mining Strategy Management in Blockchain Networks,en,2019,1,1,43,https://doi.org/10.1109/access.2019.2896108,8
IEEE Access,21693536,Internet-of-Things (IoT)-Based Smart Agriculture: Toward Making the Fields Talk,en,2019,1,1,33,https://doi.org/10.1109/access.2019.2932609,5
IEEE Access,21693536,A Survey of Blockchain From the Perspectives of Applications Challenges and Opportunities,en,2019,1,1,18,https://doi.org/10.1109/access.2019.2936094,3
IEEE Access,21693536,A Survey on Digital Twin: Definitions Characteristics Applications and Design Implications,en,2019,1,1,19,https://doi.org/10.1109/access.2019.2953499,3
IEEE Access,21693536,A Survey of Deep Learning-Based Object Detection,en,2019,1,1,32,https://doi.org/10.1109/access.2019.2939201,7
IEEE Access,21693536,A Survey on IoT Security: Application Areas Security Threats and Solution Architectures,en,2019,1,1,23,https://doi.org/10.1109/access.2019.2924045,6
IEEE Access,21693536,Effective Heart Disease Prediction Using Hybrid Machine Learning Techniques,en,2019,1,1,13,https://doi.org/10.1109/access.2019.2923707,3
International Journal of Molecular Sciences,14220067,The Effect of Psyllium Husk on Intestinal Microbiota in Constipated Patients and Healthy Controls,en,2019,1,20,12,https://doi.org/10.3390/ijms20020433,10
International Journal of Molecular Sciences,14220067,COVID-19 and Individual Genetic Susceptibility/Receptivity: Role of ACE1/ACE2 Genes Immunity Inflammation and Coagulation. Might the Double X-Chromosome in Females Be Protective against SARS-CoV-2 Compared to the Single X-Chromosome in Males?,en,2020,5,14,23,https://doi.org/10.3390/ijms21103474,6
IEEE Access,21693536,Digital Twin: Enabling Technologies Challenges and Open Research,en,2020,1,1,20,https://doi.org/10.1109/access.2020.2998358,4
International Journal of Molecular Sciences,14220067,Nanoplastics Cause Neurobehavioral Impairments Reproductive and Oxidative Damages and Biomarker Responses in Zebrafish: Throwing up Alarms of Wide Spread Health Risk of Exposure,en,2020,2,19,29,https://doi.org/10.3390/ijms21041410,9
International Journal of Molecular Sciences,14220067,Essential Oils as Antiviral Agents Potential of Essential Oils to Treat SARS-CoV-2 Infection: An In-Silico Investigation,en,2020,5,12,35,https://doi.org/10.3390/ijms21103426,4
International Journal of Molecular Sciences,14220067,Sex-Specific SARS-CoV-2 Mortality: Among Hormone-Modulated ACE2 Expression Risk of Venous Thromboembolism and Hypovitaminosis D,en,2020,4,22,6,https://doi.org/10.3390/ijms21082948,6
International Journal of Molecular Sciences,14220067,Use of H2O2 to Cause Oxidative Stress the Catalase Issue,en,2020,11,30,14,https://doi.org/10.3390/ijms21239149,4
International Journal of Molecular Sciences,14220067,A Novel Reverse Transcription Loop-Mediated Isothermal Amplification Method for Rapid Detection of SARS-CoV-2,en,2020,4,18,10,https://doi.org/10.3390/ijms21082826,6
IEEE Access,21693536,Can AI Help in Screening Viral and COVID-19 Pneumonia?,en,2020,1,1,12,https://doi.org/10.1109/access.2020.3010287,12
International Journal of Molecular Sciences,14220067,Investigation of Some Antiviral N-Heterocycles as COVID 19 Drug: Molecular Docking and DFT Calculations,en,2020,5,30,13,https://doi.org/10.3390/ijms21113922,4
International Journal of Molecular Sciences,14220067,The Effect of Novel 7-methyl-5-phenyl-pyrazolo[43-e]tetrazolo[45-b][124]triazine Sulfonamide Derivatives on Apoptosis and Autophagy in DLD-1 and HT-29 Colon Cancer Cells,en,2020,7,23,18,https://doi.org/10.3390/ijms21155221,5
International Journal of Molecular Sciences,14220067,Large-Scale Plasma Analysis Revealed New Mechanisms and Molecules Associated with the Host Response to SARS-CoV-2,en,2020,11,16,25,https://doi.org/10.3390/ijms21228623,25
International Journal of Molecular Sciences,14220067,Existence of SARS-CoV-2 Entry Molecules in the Oral Cavity,en,2020,8,20,16,https://doi.org/10.3390/ijms21176000,10
International Journal of Molecular Sciences,14220067,Structural and Evolutionary Analysis Indicate That the SARS-CoV-2 Mpro Is a Challenging Target for Small-Molecule Inhibitor Design,en,2020,4,28,17,https://doi.org/10.3390/ijms21093099,6
International Journal of Molecular Sciences,14220067,Fecal Microbiota Transplantation Prevents Intestinal Injury Upregulation of Toll-Like Receptors and 5-Fluorouracil/Oxaliplatin-Induced Toxicity in Colorectal Cancer,en,2020,1,8,23,https://doi.org/10.3390/ijms21020386,12
International Journal of Molecular Sciences,14220067,A Complete Cross Section Data Set for Electron Scattering by Pyridine: Modelling Electron Transport in the Energy Range 0–100 eV,en,2020,9,22,20,https://doi.org/10.3390/ijms21186947,19
International Journal of Molecular Sciences,14220067,Prediction of Novel Inhibitors of the Main Protease (M-pro) of SARS-CoV-2 through Consensus Docking and Drug Reposition,en,2020,5,27,29,https://doi.org/10.3390/ijms21113793,8
International Journal of Molecular Sciences,14220067,Could Intravenous Immunoglobulin Collected from Recovered Coronavirus Patients Protect against COVID-19 and Strengthen the Immune System of New Patients?,en,2020,3,25,5,https://doi.org/10.3390/ijms21072272,1
International Journal of Molecular Sciences,14220067,Potential Inhibitors for Novel Coronavirus Protease Identified by Virtual Screening of 606 Million Compounds,en,2020,5,21,17,https://doi.org/10.3390/ijms21103626,5
International Journal of Molecular Sciences,14220067,Green Synthesis of Silver Nanoparticles Using Pseudoduganella eburnea MAHUQ-39 and Their Antimicrobial Mechanisms Investigation against Drug Resistant Human Pathogens,en,2020,2,22,14,https://doi.org/10.3390/ijms21041510,1
International Journal of Molecular Sciences,14220067,CD8 T Cell Score as a Prognostic Biomarker for Triple Negative Breast Cancer,en,2020,9,22,16,https://doi.org/10.3390/ijms21186968,8
International Journal of Molecular Sciences,14220067,Transport of Extracellular Vesicles across the Blood-Brain Barrier: Brain Pharmacokinetics and Effects of Inflammation,en,2020,6,21,21,https://doi.org/10.3390/ijms21124407,6
IEEE Access,21693536,Contrastive Representation Learning: A Framework and Review,en,2020,1,1,28,https://doi.org/10.1109/access.2020.3031549,3
IEEE Access,21693536,Unsupervised K-Means Clustering Algorithm,en,2020,1,1,12,https://doi.org/10.1109/access.2020.2988796,2
IEEE Access,21693536,Pymoo: Multi-Objective Optimization in Python,en,2020,1,1,13,https://doi.org/10.1109/access.2020.2990567,2
IEEE Access,21693536,A Survey of Autonomous Driving: <i>Common Practices and Emerging Technologies</i>,en,2020,1,1,27,https://doi.org/10.1109/access.2020.2983149,4
IEEE Access,21693536,Digital Twin: Values Challenges and Enablers From a Modeling Perspective,en,2020,1,1,33,https://doi.org/10.1109/access.2020.2970143,3
IEEE Access,21693536,6G and Beyond: The Future of Wireless Communications Systems,en,2020,1,1,36,https://doi.org/10.1109/access.2020.3010896,3
IEEE Access,21693536,An Overview on Edge Computing Research,en,2020,1,1,15,https://doi.org/10.1109/access.2020.2991734,4
IEEE Access,21693536,A Survey of Multi-Access Edge Computing in 5G and Beyond: Fundamentals Technology Integration and State-of-the-Art,en,2020,1,1,44,https://doi.org/10.1109/access.2020.3001277,8
IEEE Access,21693536,Artificial Intelligence and COVID-19: Deep Learning Approaches for Diagnosis and Treatment,en,2020,1,1,15,https://doi.org/10.1109/access.2020.3001973,20
IEEE Access,21693536,Explainable Machine Learning for Scientific Insights and Discoveries,en,2020,1,1,17,https://doi.org/10.1109/access.2020.2976199,4
IEEE Access,21693536,Reconfigurable Intelligent Surface-Based Wireless Communications: Antenna Design Prototyping and Experimental Results,en,2020,1,1,11,https://doi.org/10.1109/access.2020.2977772,12
IEEE Access,21693536,Analysis of Dimensionality Reduction Techniques on Big Data,en,2020,1,1,13,https://doi.org/10.1109/access.2020.2980942,7
IEEE Access,21693536,LSTM-CNN Architecture for Human Activity Recognition,en,2020,1,1,12,https://doi.org/10.1109/access.2020.2982225,3
IEEE Access,21693536,Deep Learning Algorithms for Bearing Fault Diagnostics—A Comprehensive Review,en,2020,1,1,25,https://doi.org/10.1109/access.2020.2972859,4
IEEE Access,21693536,A Survey of COVID-19 Contact Tracing Apps,en,2020,1,1,25,https://doi.org/10.1109/access.2020.3010226,10
IEEE Access,21693536,Solutions to Scalability of Blockchain: A Survey,en,2020,1,1,16,https://doi.org/10.1109/access.2020.2967218,4
IEEE Access,21693536,Communications in the 6G Era,en,2020,1,1,12,https://doi.org/10.1109/access.2020.2981745,2
IEEE Access,21693536,CovidGAN: Data Augmentation Using Auxiliary Classifier GAN for Improved Covid-19 Detection,en,2020,1,1,8,https://doi.org/10.1109/access.2020.2994762,6
International Journal of Molecular Sciences,14220067,RT-qPCR Testing of SARS-CoV-2: A Primer,en,2020,4,24,9,https://doi.org/10.3390/ijms21083004,2
IEEE Access,21693536,Northern Goshawk Optimization: A New Swarm-Based Algorithm for Solving Optimization Problems,en,2021,1,1,22,https://doi.org/10.1109/access.2021.3133286,3
IEEE Access,21693536,The Role of AI Machine Learning and Big Data in Digital Twinning: A Systematic Literature Review Challenges and Opportunities,en,2021,1,1,23,https://doi.org/10.1109/access.2021.3060863,5
IEEE Access,21693536,A Term Weighted Neural Language Model and Stacked Bidirectional LSTM Based Framework for Sarcasm Identification,en,2021,1,1,22,https://doi.org/10.1109/access.2021.3049734,2
IEEE Access,21693536,6G Wireless Communications Networks: A Comprehensive Survey,en,2021,1,1,53,https://doi.org/10.1109/access.2021.3124812,10
IEEE Access,21693536,Improving the Prediction of Heart Failure Patients’ Survival Using SMOTE and Effective Data Mining Techniques,en,2021,1,1,10,https://doi.org/10.1109/access.2021.3064084,7
IEEE Access,21693536,INet: Convolutional Networks for Biomedical Image Segmentation,en,2021,1,1,13,https://doi.org/10.1109/access.2021.3053408,2
IEEE Access,21693536,A Survey on Blockchain Technology: Evolution Architecture and Security,en,2021,1,1,26,https://doi.org/10.1109/access.2021.3072849,9
IEEE Access,21693536,Convergent Communication Sensing and Localization in 6G Systems: An Overview of Technologies Opportunities and Challenges,en,2021,1,1,24,https://doi.org/10.1109/access.2021.3053486,20
IEEE Access,21693536,Efficient Prediction of Cardiovascular Disease Using Machine Learning Algorithms With Relief and LASSO Feature Selection Techniques,en,2021,1,1,23,https://doi.org/10.1109/access.2021.3053759,9
IEEE Access,21693536,Metaheuristic Algorithms on Feature Selection: A Survey of One Decade of Research (2009-2019),en,2021,1,1,26,https://doi.org/10.1109/access.2021.3056407,4
IEEE Access,21693536,Plant Disease Detection and Classification by Deep Learning—A Review,en,2021,1,1,16,https://doi.org/10.1109/access.2021.3069646,3
IEEE Access,21693536,Enabling Large Intelligent Surfaces With Compressive Sensing and Deep Learning,en,2021,1,1,18,https://doi.org/10.1109/access.2021.3064073,3
IEEE Access,21693536,A Short-Term Load Forecasting Method Using Integrated CNN and LSTM Network,en,2021,1,1,13,https://doi.org/10.1109/access.2021.3060654,4
IEEE Access,21693536,Joint Design of Communication and Sensing for Beyond 5G and 6G Systems,en,2021,1,1,13,https://doi.org/10.1109/access.2021.3059488,3
IEEE Access,21693536,Inductive Wireless Power Transfer Charging for Electric Vehicles–A Review,en,2021,1,1,47,https://doi.org/10.1109/access.2021.3116678,3
IEEE Access,21693536,A Novel Deep-Learning Model for Automatic Detection and Classification of Breast Cancer Using the Transfer-Learning Technique,en,2021,1,1,16,https://doi.org/10.1109/access.2021.3079204,5
IEEE Access,21693536,Deep Learning for Anomaly Detection in Time-Series Data: Review Analysis and Guidelines,en,2021,1,1,23,https://doi.org/10.1109/access.2021.3107975,4
International Journal of Molecular Sciences,14220067,Antioxidant vs. Prooxidant Properties of the Flavonoid Kaempferol in the Presence of Cu(II) Ions: A ROS-Scavenging Activity Fenton Reaction and DNA Damage Study,en,2021,2,5,17,https://doi.org/10.3390/ijms22041619,9
International Journal of Molecular Sciences,14220067,SAAFEC-SEQ: A Sequence-Based Method for Predicting the Effect of Single Point Mutations on Protein Thermodynamic Stability,en,2021,1,9,11,https://doi.org/10.3390/ijms22020606,3
IEEE Access,21693536,Benchmarking of Machine Learning for Anomaly Based Intrusion Detection Systems in the CICIDS2017 Dataset,en,2021,1,1,20,https://doi.org/10.1109/access.2021.3056614,5
International Journal of Molecular Sciences,14220067,Machine Learning-Based Radiomics Signatures for EGFR and KRAS Mutations Prediction in Non-Small-Cell Lung Cancer,en,2021,8,26,14,https://doi.org/10.3390/ijms22179254,6
International Journal of Molecular Sciences,14220067,CRISPR/Cas9-Mediated Generation of Pathogen-Resistant Tomato against Tomato Yellow Leaf Curl Virus and Powdery Mildew,en,2021,2,13,18,https://doi.org/10.3390/ijms22041878,7
International Journal of Molecular Sciences,14220067,Catalase (CAT) Gene Family in Rapeseed (Brassica napus L.): Genome-Wide Analysis Identification and Expression Pattern in Response to Multiple Hormones and Abiotic Stress Conditions,en,2021,4,20,20,https://doi.org/10.3390/ijms22084281,9
International Journal of Molecular Sciences,14220067,Hybrid Methacrylated Gelatin and Hyaluronic Acid Hydrogel Scaffolds. Preparation and Systematic Characterization for Prospective Tissue Engineering Applications,en,2021,6,23,26,https://doi.org/10.3390/ijms22136758,11
International Journal of Molecular Sciences,14220067,Green Synthesis of Chromium Oxide Nanoparticles for Antibacterial Antioxidant Anticancer and Biocompatibility Activities,en,2021,1,6,17,https://doi.org/10.3390/ijms22020502,6
International Journal of Molecular Sciences,14220067,Plant Extracellular Vesicles and Nanovesicles: Focus on Secondary Metabolites Proteins and Lipids with Perspectives on Their Potential and Sources,en,2021,4,2,20,https://doi.org/10.3390/ijms22073719,9
International Journal of Molecular Sciences,14220067,Exploring the Binding Mechanism of PF-07321332 SARS-CoV-2 Protease Inhibitor through Molecular Dynamics and Binding Free Energy Simulations,en,2021,8,24,13,https://doi.org/10.3390/ijms22179124,5
International Journal of Molecular Sciences,14220067,Adsorption of Malachite Green and Alizarin Red S Dyes Using Fe-BTC Metal Organic Framework as Adsorbent,en,2021,1,14,14,https://doi.org/10.3390/ijms22020788,5
International Journal of Molecular Sciences,14220067,Bioactive Carboxymethyl Starch-Based Hydrogels Decorated with CuO Nanoparticles: Antioxidant and Antimicrobial Properties and Accelerated Wound Healing In Vivo,en,2021,3,3,18,https://doi.org/10.3390/ijms22052531,6
International Journal of Molecular Sciences,14220067,First Report of CRISPR/Cas9 Mediated DNA-Free Editing of 4CL and RVE7 Genes in Chickpea Protoplasts,en,2021,1,1,15,https://doi.org/10.3390/ijms22010396,3
International Journal of Molecular Sciences,14220067,TNMplot.com: A Web Tool for the Comparison of Gene Expression in Normal Tumor and Metastatic Tissues,en,2021,3,5,12,https://doi.org/10.3390/ijms22052622,2
International Journal of Molecular Sciences,14220067,The MTT Assay: Utility Limitations Pitfalls and Interpretation in Bulk and Single-Cell Analysis,en,2021,11,26,30,https://doi.org/10.3390/ijms222312827,4
International Journal of Molecular Sciences,14220067,Empagliflozin Attenuates Non-Alcoholic Fatty Liver Disease (NAFLD) in High Fat Diet Fed ApoE(-/-) Mice by Activating Autophagy and Reducing ER Stress and Apoptosis,en,2021,1,15,21,https://doi.org/10.3390/ijms22020818,15
IEEE Access,21693536,Design and Development of a Deep Learning-Based Model for Anomaly Detection in IoT Networks,en,2021,1,1,21,https://doi.org/10.1109/access.2021.3094024,2
International Journal of Molecular Sciences,14220067,Differential Therapeutic Effect of Extracellular Vesicles Derived by Bone Marrow and Adipose Mesenchymal Stem Cells on Wound Healing of Diabetic Ulcers and Correlation to Their Cargoes,en,2021,4,8,26,https://doi.org/10.3390/ijms22083851,13
International Journal of Molecular Sciences,14220067,A Single Dose of Psilocybin Increases Synaptic Density and Decreases 5-HT2A Receptor Density in the Pig Brain,en,2021,1,15,14,https://doi.org/10.3390/ijms22020835,7
International Journal of Molecular Sciences,14220067,Comparative Proteomic Analysis of the Mesenchymal Stem Cells Secretome from Adipose Bone Marrow Placenta and Wharton’s Jelly,en,2021,1,15,16,https://doi.org/10.3390/ijms22020845,9
International Journal of Molecular Sciences,14220067,Bovine Milk-Derived Exosomes as a Drug Delivery Vehicle for miRNA-Based Therapy,en,2021,1,22,18,https://doi.org/10.3390/ijms22031105,8
International Journal of Molecular Sciences,14220067,Interaction of Intestinal Bacteria with Human Rotavirus during Infection in Children,en,2021,1,20,12,https://doi.org/10.3390/ijms22031010,12
IEEE Access,21693536,Geometric A-Star Algorithm: An Improved A-Star Algorithm for AGV Path Planning in a Port Environment,en,2021,1,1,15,https://doi.org/10.1109/access.2021.3070054,5
International Journal of Molecular Sciences,14220067,Long COVID: Association of Functional Autoantibodies against G-Protein-Coupled Receptors with an Impaired Retinal Microcirculation,en,2022,6,29,17,https://doi.org/10.3390/ijms23137209,22
International Journal of Molecular Sciences,14220067,Single-Cell RNA-Seq Analysis of Cells from Degenerating and Non-Degenerating Intervertebral Discs from the Same Individual Reveals New Biomarkers for Intervertebral Disc Degeneration,en,2022,4,3,36,https://doi.org/10.3390/ijms23073993,7
International Journal of Molecular Sciences,14220067,MUC1 Tissue Expression and Its Soluble Form CA15-3 Identify a Clear Cell Renal Cell Carcinoma with Distinct Metabolic Profile and Poor Clinical Outcome,en,2022,11,12,26,https://doi.org/10.3390/ijms232213968,11
International Journal of Molecular Sciences,14220067,TNF-α and IL-1β Modulate Blood-Brain Barrier Permeability and Decrease Amyloid-β Peptide Efflux in a Human Blood-Brain Barrier Model,en,2022,9,6,22,https://doi.org/10.3390/ijms231810235,5
International Journal of Molecular Sciences,14220067,Dependence of Structural Morphological and Magnetic Properties of Manganese Ferrite on Ni-Mn Substitution,en,2022,3,13,15,https://doi.org/10.3390/ijms23063097,5
International Journal of Molecular Sciences,14220067,Investigation of Structural Morphological and Magnetic Properties of MFe2O4 (M = Co Ni Zn Cu Mn) Obtained by Thermal Decomposition,en,2022,7,30,11,https://doi.org/10.3390/ijms23158483,3
International Journal of Molecular Sciences,14220067,Exogenously-Sourced Ethylene Positively Modulates Photosynthesis Carbohydrate Metabolism and Antioxidant Defense to Enhance Heat Tolerance in Rice,en,2022,1,18,25,https://doi.org/10.3390/ijms23031031,6
International Journal of Molecular Sciences,14220067,Phenotypic and Transcriptional Changes of Pulmonary Immune Responses in Dogs Following Canine Distemper Virus Infection,en,2022,9,2,31,https://doi.org/10.3390/ijms231710019,9
International Journal of Molecular Sciences,14220067,Kaempferol Can Reverse the 5-Fu Resistance of Colorectal Cancer Cells by Inhibiting PKM2-Mediated Glycolysis,en,2022,3,24,13,https://doi.org/10.3390/ijms23073544,6
International Journal of Molecular Sciences,14220067,Synthesis Mechanisms Structural Models and Photothermal Therapy Applications of Top-Down Carbon Dots from Carbon Powder Graphite Graphene and Carbon Nanotubes,en,2022,1,27,21,https://doi.org/10.3390/ijms23031456,9
International Journal of Molecular Sciences,14220067,Rigid Schiff Base Complex Supermolecular Aggregates as a High-Performance pH Probe: Study on the Enhancement of the Aggregation-Caused Quenching (ACQ) Effect via the Substitution of Halogen Atoms,en,2022,6,2,17,https://doi.org/10.3390/ijms23116259,8
International Journal of Molecular Sciences,14220067,Influence of Acidic pH on Wound Healing In Vivo: A Novel Perspective for Wound Treatment,en,2022,11,7,15,https://doi.org/10.3390/ijms232113655,5
International Journal of Molecular Sciences,14220067,The SwissSimilarity 2021 Web Tool: Novel Chemical Libraries and Additional Methods for an Enhanced Ligand-Based Virtual Screening Experience,en,2022,1,12,10,https://doi.org/10.3390/ijms23020811,5
International Journal of Molecular Sciences,14220067,AlphaFold2: A Role for Disordered Protein/Region Prediction?,en,2022,4,21,14,https://doi.org/10.3390/ijms23094591,3
International Journal of Molecular Sciences,14220067,Investigation of the Associations of Novel Inflammatory Biomarkers—Systemic Inflammatory Index (SII) and Systemic Inflammatory Response Index (SIRI)—With the Severity of Coronary Artery Disease and Acute Coronary Syndrome Occurrence,en,2022,8,23,14,https://doi.org/10.3390/ijms23179553,7
International Journal of Molecular Sciences,14220067,Essential Hypertension and Oxidative Stress: Novel Future Perspectives,en,2022,11,21,17,https://doi.org/10.3390/ijms232214489,6
International Journal of Molecular Sciences,14220067,Milk-Derived Exosomes as Nanocarriers to Deliver Curcumin and Resveratrol in Breast Tissue and Enhance Their Anticancer Activity,en,2022,3,5,16,https://doi.org/10.3390/ijms23052860,10
International Journal of Molecular Sciences,14220067,Evolutionary Invariant of the Structure of DNA Double Helix in RNAP II Core Promoters,en,2022,9,17,29,https://doi.org/10.3390/ijms231810873,3
