Last Name,First Name,ORCID,Affiliation,ISSN
Dzięgiel,Piotr,https://orcid.org/0000-0002-8292-1385,Wroclaw Medical University; University School of Physical Education in Wroclaw,1422-0067
Nowińska,Katarzyna,https://orcid.org/0000-0001-8316-8893,Wroclaw Medical University,1422-0067
Liu,Ke,https://orcid.org/0000-0001-8151-4326,NONE,1422-0067
Sun,Xiangyan,https://orcid.org/0000-0003-0230-8925,NONE,1422-0067
Jia,Lei,https://orcid.org/0000-0003-3721-1998,Amgen (United States),1422-0067
Ma,Jun,https://orcid.org/0000-0002-6645-0579,NONE,1422-0067
Xing,Haoming,NONE,NONE,1422-0067
Wu,Junqiu,NONE,NONE,1422-0067
Gao,Hua,https://orcid.org/0000-0002-1326-6946,Amgen (United States),1422-0067
Sun,Yax,NONE,Amgen (United States),1422-0067
Boulnois,Florian,NONE,Amgen (United States),1422-0067
Fan,Jie,https://orcid.org/0000-0002-2252-2323,NONE,1422-0067
Jalanka,Jonna,https://orcid.org/0000-0002-3847-8136,University of Nottingham; University of Helsinki; Nottingham University Hospitals NHS Trust; Nottingham Biomedical Research Centre,1422-0067
Major,Giles,https://orcid.org/0000-0001-7944-3709,Nottingham University Hospitals NHS Trust; Nottingham Biomedical Research Centre; University of Nottingham,1422-0067
Murray,Kathryn,https://orcid.org/0000-0003-3403-1035,Nottingham University Hospitals NHS Trust; Nottingham Biomedical Research Centre; University of Nottingham,1422-0067
Singh,Gulzar,NONE,Nottingham University Hospitals NHS Trust; Nottingham Biomedical Research Centre; University of Nottingham,1422-0067
Nowak,Adam,NONE,Nottingham University Hospitals NHS Trust; University of Nottingham,1422-0067
Kurtz,Caroline,https://orcid.org/0000-0001-7192-6116,Synlogic (United States),1422-0067
Silos‐Santiago,Inmaculada,NONE,DecImmune Therapeutics (United States),1422-0067
Johnston,Jeffrey M.,NONE,Ironwood Pharmaceuticals (United States),1422-0067
Vos,Willem M. de,https://orcid.org/0000-0002-0273-3166,Wageningen University & Research,1422-0067
Spiller,Robert E.,https://orcid.org/0000-0001-6371-4500,Nottingham University Hospitals NHS Trust; University of Nottingham; Nottingham Biomedical Research Centre,1422-0067
Castrogiovanni,Paola,https://orcid.org/0000-0001-5873-2456,University of Catania,1422-0067
Rosa,Michelino Di,https://orcid.org/0000-0002-1837-9325,University of Catania,1422-0067
Ravalli,Silvia,https://orcid.org/0000-0003-3358-1086,University of Catania,1422-0067
Castorina,Alessandro,https://orcid.org/0000-0001-7037-759X,University of Technology Sydney; University of Sydney,1422-0067
Guglielmino,Claudia,NONE,University of Catania,1422-0067
Imbesi,Rosa,https://orcid.org/0000-0003-4228-4163,University of Catania,1422-0067
Vecchio,Michele,https://orcid.org/0000-0001-5254-3283,University of Catania,1422-0067
Drago,Filippo,https://orcid.org/0000-0003-2887-5223,University of Catania,1422-0067
Szychlinska,Marta Anna,https://orcid.org/0000-0001-5281-1516,University of Catania,1422-0067
Musumeci,Giuseppe,https://orcid.org/0000-0002-8260-8890,University of Catania,1422-0067
Lux,Alexander,https://orcid.org/0000-0001-8651-8166,Klinik und Poliklinik für Psychotherapie und Psychosomatik; University Hospital Carl Gustav Carus,1422-0067
Kahlert,Christoph,https://orcid.org/0000-0003-4124-7918,Klinik und Poliklinik für Psychotherapie und Psychosomatik; University Hospital Carl Gustav Carus,1422-0067
Grützmann,Robert,https://orcid.org/0000-0003-2559-0476,Universitätsklinikum Erlangen,1422-0067
Pilarsky,Christian,https://orcid.org/0000-0002-7968-3283,Universitätsklinikum Erlangen,1422-0067
Beaurivage,Claudia,https://orcid.org/0000-0001-8614-4635,Galapagos (Netherlands); University of Sheffield,1422-0067
Naumovska,Elena,https://orcid.org/0000-0003-3963-1195,University of Sheffield; Mimetas (Netherlands),1422-0067
Chang,Yee,NONE,Galapagos (Netherlands),1422-0067
Elstak,Edo,https://orcid.org/0000-0003-2484-6601,Galapagos (Netherlands),1422-0067
Nicolas,Arnaud,https://orcid.org/0000-0001-9333-770X,Mimetas (Netherlands),1422-0067
Wouters,Heidi,NONE,Galapagos (Netherlands),1422-0067
Moolenbroek,Guido T. van,https://orcid.org/0000-0003-2460-0003,Mimetas (Netherlands),1422-0067
Lanz,Henriëtte L.,https://orcid.org/0000-0002-4087-0313,Mimetas (Netherlands),1422-0067
Trietsch,Sebastiaan J.,https://orcid.org/0000-0003-1000-4139,Mimetas (Netherlands),1422-0067
Joore,Jos,https://orcid.org/0000-0002-2744-4862,Mimetas (Netherlands),1422-0067
Vulto,Paul,https://orcid.org/0000-0002-1525-1545,Mimetas (Netherlands),1422-0067
Janssen,Richard A. J.,NONE,Galapagos (Netherlands),1422-0067
Erdmann,Kai S.,https://orcid.org/0000-0002-3893-7734,University of Sheffield,1422-0067
Stallen,Jan,NONE,Galapagos (Netherlands),1422-0067
Kurek,Dorota,https://orcid.org/0000-0002-7168-8944,Mimetas (Netherlands),1422-0067
Sagaradze,Georgy,https://orcid.org/0000-0003-2551-5118,Lomonosov Moscow State University,1422-0067
Grigorieva,Olga,https://orcid.org/0000-0003-2954-2420,Lomonosov Moscow State University,1422-0067
Nimiritsky,Peter,https://orcid.org/0000-0003-2263-2239,Lomonosov Moscow State University,1422-0067
Basalova,Nataliya,https://orcid.org/0000-0002-2597-8879,Lomonosov Moscow State University,1422-0067
Kalinina,Natalia,https://orcid.org/0000-0003-3497-9619,Lomonosov Moscow State University,1422-0067
Akopyan,Zhanna,https://orcid.org/0000-0002-0989-7825,Lomonosov Moscow State University,1422-0067
Efimenko,Anastasia,https://orcid.org/0000-0002-0696-1369,Lomonosov Moscow State University,1422-0067
Anada,Takahisa,https://orcid.org/0000-0001-8254-4199,Kyushu University; Tohoku University; Stanford University,1422-0067
Pan,Chi-Chun,NONE,Stanford University,1422-0067
Stahl,Alexander M.,https://orcid.org/0000-0002-4768-7319,Stanford University,1422-0067
Mori,Satomi,NONE,Tohoku University,1422-0067
Fukuda,Junji,https://orcid.org/0000-0002-7194-8099,Yokohama National University,1422-0067
Suzuki,Osamu,https://orcid.org/0000-0002-3566-5681,Tohoku University,1422-0067
Yang,Yunzhi,https://orcid.org/0000-0002-3891-0574,Stanford University,1422-0067
Quiterio-Gutiérrez,Tomasa,NONE,Universidad Autónoma Agraria Antonio Narro,1422-0067
Ortega‐Ortíz,Hortensia,https://orcid.org/0000-0002-8869-6385,NONE,1422-0067
Cadenas‐Pliego,Gregorio,https://orcid.org/0000-0002-2692-4995,NONE,1422-0067
Hernández-Fuentes,Alma Delia,https://orcid.org/0000-0003-2592-6689,Universidad Autónoma del Estado de Hidalgo,1422-0067
Sandoval-Rangel,Alberto,https://orcid.org/0000-0003-4651-7980,Universidad Autónoma Agraria Antonio Narro,1422-0067
Benavides‐Mendoza,Adalberto,https://orcid.org/0000-0002-2729-4315,Universidad Autónoma Agraria Antonio Narro,1422-0067
Fuente,Marcelino Cabrera-De la,https://orcid.org/0000-0002-3292-2793,Universidad Autónoma Agraria Antonio Narro,1422-0067
Juárez‐Maldonado,Antonio,https://orcid.org/0000-0003-3061-2297,Universidad Autónoma Agraria Antonio Narro,1422-0067
Sprouse,Marc L.,NONE,Houston Methodist,1422-0067
Welte,Thomas,https://orcid.org/0000-0003-4396-7249,Houston Methodist,1422-0067
Boral,Debasish,https://orcid.org/0000-0001-9505-9811,Houston Methodist,1422-0067
Liu,Haowen N.,NONE,Houston Methodist,1422-0067
Yin,Wei,https://orcid.org/0000-0001-8948-781X,Houston Methodist,1422-0067
Vishnoi,Monika,https://orcid.org/0000-0002-3934-7285,Houston Methodist,1422-0067
Goswami-Sewell,Debalina,NONE,Houston Methodist,1422-0067
Li,Lili,https://orcid.org/0000-0003-0552-7250,Houston Methodist,1422-0067
Pei,Guangsheng,https://orcid.org/0000-0003-1804-7598,The University of Texas Health Science Center at Houston,1422-0067
Jia,Peilin,https://orcid.org/0000-0003-4523-4153,The University of Texas Health Science Center at Houston,1422-0067
Glitza-Oliva,Isabella,NONE,The University of Texas MD Anderson Cancer Center,1422-0067
Marchetti,Dario,https://orcid.org/0000-0002-5951-2823,Houston Methodist; Methodist Hospital,1422-0067
Gemmati,Donato,https://orcid.org/0000-0001-6213-6120,University of Ferrara,1422-0067
Bramanti,Barbara,https://orcid.org/0000-0002-5433-663X,University of Ferrara,1422-0067
Serino,Maria Luisa,NONE,University of Ferrara,1422-0067
Secchiero,Paola,https://orcid.org/0000-0003-4101-7987,University of Ferrara,1422-0067
Zauli,Giorgio,https://orcid.org/0000-0002-3750-8698,University of Ferrara,1422-0067
Tisato,Veronica,https://orcid.org/0000-0001-8448-066X,University of Ferrara,1422-0067
Banks,William A.,https://orcid.org/0000-0002-0496-3619,Geriatric Research Education and Clinical Center; University of Puget Sound; University of Washington,1422-0067
Sharma,Priyanka,https://orcid.org/0000-0001-9270-8492,University of Pittsburgh; UPMC Hillman Cancer Center,1422-0067
Bullock,Kristin M.,NONE,University of Washington,1422-0067
Hansen,Kim M.,NONE,University of Washington,1422-0067
Ludwig,Nils,https://orcid.org/0000-0001-5561-2184,University of Pittsburgh; UPMC Hillman Cancer Center,1422-0067
Whiteside,Theresa L.,https://orcid.org/0000-0001-7316-6181,University of Pittsburgh; UPMC Hillman Cancer Center,1422-0067
Gornowicz,Agnieszka,https://orcid.org/0000-0002-0945-7870,Medical University of Białystok,1422-0067
Szymanowska,Anna,https://orcid.org/0000-0003-4783-3336,Medical University of Białystok,1422-0067
Mojzych,Mariusz,https://orcid.org/0000-0002-9884-6068,University of Siedlce,1422-0067
Bielawski,Krzysztof,https://orcid.org/0000-0003-3187-4205,Medical University of Białystok,1422-0067
Bielawska,Anna,https://orcid.org/0000-0001-9164-8440,Medical University of Białystok,1422-0067
Sarasamma,Sreeja,https://orcid.org/0000-0002-8576-0097,Chung Yuan Christian University,1422-0067
Audira,Gilbert,https://orcid.org/0000-0002-9985-6524,Chung Yuan Christian University,1422-0067
Siregar,Petrus,https://orcid.org/0000-0003-4066-0874,Chung Yuan Christian University,1422-0067
Malhotra,Nemi,https://orcid.org/0000-0002-5920-0803,Chung Yuan Christian University,1422-0067
Lai,Yu‐Heng,https://orcid.org/0000-0001-7855-0633,Chinese Culture University,1422-0067
Liang,Sung‐Tzu,https://orcid.org/0000-0002-4068-4430,Chung Yuan Christian University,1422-0067
Chen,Jung‐Ren,https://orcid.org/0000-0002-7889-9699,I-Shou University,1422-0067
Chen,Kelvin H.‐C.,https://orcid.org/0000-0002-2709-2633,National Pingtung University,1422-0067
Hsiao,Chung‐Der,https://orcid.org/0000-0002-6398-8672,Chung Yuan Christian University,1422-0067
Silva,Joyce Kelly R. da,https://orcid.org/0000-0002-9351-876X,Universidade Federal do Pará,1422-0067
Figueiredo,Pablo Luis B.,https://orcid.org/0000-0003-1365-3513,Universidade do Estado do Pará,1422-0067
Byler,Kendall,NONE,University of Alabama in Huntsville,1422-0067
Setzer,William N.,https://orcid.org/0000-0002-3639-0528,University of Alabama in Huntsville; Aromatic Plant Research Center,1422-0067
Vignera,Sandro La,https://orcid.org/0000-0002-7113-2372,University of Catania,1422-0067
Cannarella,Rossella,https://orcid.org/0000-0003-4599-8487,University of Catania,1422-0067
Condorelli,Rosita A.,https://orcid.org/0000-0002-5217-9343,University of Catania,1422-0067
Torre,Francesco,NONE,University of Catania,1422-0067
Aversa,Antônio,https://orcid.org/0000-0002-2989-2618,Magna Graecia University,1422-0067
Calogero,Aldo E.,https://orcid.org/0000-0001-6950-335X,University of Catania,1422-0067
Ransy,Céline,NONE,Institut Cochin; Université Paris Cité; Inserm; Centre National de la Recherche Scientifique,1422-0067
Vaz,Clément,NONE,Institut Cochin; Université Paris Cité; Inserm; Centre National de la Recherche Scientifique,1422-0067
Lombès,Anne,https://orcid.org/0000-0002-9064-0399,Institut Cochin; Université Paris Cité; Inserm; Centre National de la Recherche Scientifique,1422-0067
Bouillaud,Frédéric,https://orcid.org/0000-0002-7518-9237,Institut Cochin; Université Paris Cité; Inserm; Centre National de la Recherche Scientifique,1422-0067
Lu,Renfei,https://orcid.org/0000-0002-4980-3539,Nantong University,1422-0067
Wu,Xiuming,https://orcid.org/0000-0003-2644-1069,Institut Pasteur of Shanghai; Chinese Academy of Sciences,1422-0067
Wan,Zhenzhou,https://orcid.org/0000-0001-9624-4226,Taizhou Fourth People's Hospital,1422-0067
Li,Yingxue,https://orcid.org/0000-0002-3605-2975,Institut Pasteur of Shanghai; Chinese Academy of Sciences,1422-0067
Jin,Xia,https://orcid.org/0000-0002-4185-1966,Shanghai Public Health Clinical Center,1422-0067
Zhang,Chiyu,https://orcid.org/0000-0001-8735-9857,Institut Pasteur of Shanghai; Chinese Academy of Sciences,1422-0067
Hagar,Mohamed,https://orcid.org/0000-0003-0169-7738,Yanbu University College; Taibah University; Alexandria University,1422-0067
Ahmed,Hoda A.,https://orcid.org/0000-0003-3966-7024,Cairo University,1422-0067
Aljohani,Ghadah,https://orcid.org/0000-0003-0406-416X,Taibah University,1422-0067
Alhaddad,Omaima A.,NONE,Taibah University,1422-0067
Barberis,E.,https://orcid.org/0000-0002-2296-9766,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Timo,Sara,https://orcid.org/0000-0001-9993-0483,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Amede,Elia,NONE,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Vanella,Virginia Vita,NONE,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Puricelli,Chiara,https://orcid.org/0000-0002-0416-6687,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Cappellano,Giuseppe,https://orcid.org/0000-0001-5193-4688,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Raineri,Davide,https://orcid.org/0000-0003-3327-6305,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Cittone,Micol Giulia,https://orcid.org/0000-0003-4400-1526,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Rizzi,Eleonora,https://orcid.org/0000-0001-9615-2452,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Pedrinelli,Anita Rebecca,https://orcid.org/0000-0001-8390-9532,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Vassia,Veronica,https://orcid.org/0000-0002-7097-0710,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Casciaro,Giuseppe Francesco,https://orcid.org/0000-0003-1420-4058,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Priora,Simona,NONE,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Nerici,Ilaria,https://orcid.org/0000-0002-3713-4550,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Galbiati,Alessandra,https://orcid.org/0000-0003-4511-5365,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Hayden,Eyal,https://orcid.org/0000-0003-3246-8145,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”; Azienda Ospedaliero Universitaria Maggiore della Carita,1422-0067
Falasca,Marco,https://orcid.org/0000-0002-9801-7235,Curtin University,1422-0067
Vaschetto,Rosanna,https://orcid.org/0000-0003-4625-4367,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Sainaghi,Pier Paolo,https://orcid.org/0000-0001-8322-9158,Azienda Ospedaliero Universitaria Maggiore della Carita; Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Dianzani,Umberto,https://orcid.org/0000-0001-6723-3931,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Rolla,Roberta,https://orcid.org/0000-0003-0805-8285,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Chiocchetti,Annalisa,https://orcid.org/0000-0002-4349-1087,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Baldanzi,Gianluca,https://orcid.org/0000-0002-1370-9903,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Marengo,Emílio,https://orcid.org/0000-0002-9395-7375,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Manfredi,Marcello,https://orcid.org/0000-0003-0632-5618,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,1422-0067
Huq,Md. Amdadul,https://orcid.org/0000-0002-4831-6368,Chung-Ang University,1422-0067
Sakaguchi,Wakako,https://orcid.org/0000-0002-6365-0209,Kanagawa Dental University,1422-0067
Kubota,Nobuhisa,NONE,Kanagawa Dental University,1422-0067
Shimizu,Tomoko,https://orcid.org/0009-0006-0532-767X,Kanagawa Dental University,1422-0067
Saruta,Juri,https://orcid.org/0000-0002-7566-3330,Kanagawa Dental University,1422-0067
Fuchida,Shinya,NONE,Kanagawa Dental University,1422-0067
Kawata,Akira,NONE,Kanagawa Dental University,1422-0067
Yamamoto,Yuko,https://orcid.org/0000-0003-1724-0425,Kanagawa Dental University,1422-0067
Sugimoto,Masahiro,https://orcid.org/0000-0003-3316-2543,Tokyo Medical University,1422-0067
Yakeishi,Mayumi,NONE,Kanagawa Dental University,1422-0067
Tsukinoki,Keiichi,https://orcid.org/0000-0002-0005-2615,Kanagawa Dental University,1422-0067
Bzówka,Maria,https://orcid.org/0000-0001-6802-8753,Silesian University of Technology,1422-0067
Mitusińska,Karolina,https://orcid.org/0000-0002-0183-0845,Silesian University of Technology,1422-0067
Raczyńska,Agata,https://orcid.org/0000-0002-1884-3669,Silesian University of Technology,1422-0067
Samol,Aleksandra,https://orcid.org/0000-0002-6372-8125,Silesian University of Technology,1422-0067
Tuszyński,Jack A.,https://orcid.org/0000-0001-9976-0429,University of Alberta; Polytechnic University of Turin,1422-0067
Góra,Artur,https://orcid.org/0000-0003-2530-6957,Silesian University of Technology,1422-0067
Bustin,Stephen A.,https://orcid.org/0000-0003-1870-6098,Anglia Ruskin University,1422-0067
Nolan,Tania,NONE,University of Manchester,1422-0067
Oshi,Masanori,https://orcid.org/0000-0002-1404-1570,Roswell Park Comprehensive Cancer Center; Yokohama City University,1422-0067
Asaoka,Mariko,https://orcid.org/0000-0002-4573-4572,Roswell Park Comprehensive Cancer Center; Tokyo Medical University,1422-0067
Tokumaru,Yoshihisa,https://orcid.org/0000-0003-2481-7739,Roswell Park Comprehensive Cancer Center; Gifu University,1422-0067
Yan,Li,https://orcid.org/0000-0002-4792-9998,Roswell Park Comprehensive Cancer Center,1422-0067
Matsuyama,Ryusei,https://orcid.org/0000-0001-5131-0023,Yokohama City University,1422-0067
Ishikawa,Takashi,https://orcid.org/0000-0003-3450-4533,Tokyo Medical University,1422-0067
Endo,Itaru,https://orcid.org/0000-0001-5520-8114,Yokohama City University,1422-0067
Takabe,Kazuaki,https://orcid.org/0000-0002-6435-4241,Roswell Park Comprehensive Cancer Center; Yokohama City University; Tokyo Medical University; Niigata University; Fukushima Medical University; University at Buffalo State University of New York; Jacobs (United States),1422-0067
Fischer,André,https://orcid.org/0000-0002-6386-2324,University of Basel,1422-0067
Sellner,Manuel,https://orcid.org/0000-0003-3961-0175,University of Basel,1422-0067
Neranjan,Santhosh,https://orcid.org/0000-0002-2944-652X,University of Basel,1422-0067
Smieško,Martin,https://orcid.org/0000-0003-2758-2680,University of Basel,1422-0067
Lill,Markus A.,https://orcid.org/0000-0003-3023-5188,University of Basel,1422-0067
Jawhara,Samir,https://orcid.org/0000-0002-2759-975X,Inserm; Centre National de la Recherche Scientifique; Unité de Glycobiologie Structurale et Fonctionnelle; Université de Lille,1422-0067
Gimeno,Aleix,https://orcid.org/0000-0002-7654-6689,Universidad Rovira i Virgili,1422-0067
Mestres‐Truyol,Júlia,https://orcid.org/0000-0002-8552-5281,Universidad Rovira i Virgili,1422-0067
Ojeda,María José,https://orcid.org/0000-0002-9290-1935,Median SCP (Spain),1422-0067
Macip,Guillem,https://orcid.org/0000-0003-4016-5558,Universidad Rovira i Virgili,1422-0067
Saldivar‐Espinoza,Bryan,https://orcid.org/0000-0002-9667-2818,Universidad Rovira i Virgili,1422-0067
Cereto‐Massagué,Adrià,https://orcid.org/0000-0002-9319-6377,Universidad Rovira i Virgili,1422-0067
Pujadas,Gerard,https://orcid.org/0000-0003-2598-8089,Universidad Rovira i Virgili; Technological Center of Nutrition and Health,1422-0067
Garcı́a-Vallvé,Santiago,https://orcid.org/0000-0002-0348-7497,Universidad Rovira i Virgili; Technological Center of Nutrition and Health,1422-0067
Costa,Filipe,NONE,Instituto de Física Fundamental; Consejo Superior de Investigaciones Científicas,1422-0067
Traoré-Dubuis,Ali,https://orcid.org/0000-0003-1951-4848,Instituto de Física Fundamental; Consejo Superior de Investigaciones Científicas; Cheikh Anta Diop University,1422-0067
Álvarez,L.,NONE,Instituto de Física Fundamental; Consejo Superior de Investigaciones Científicas,1422-0067
Lozano,Ana,https://orcid.org/0000-0003-4613-0372,Universidade Nova de Lisboa; Instituto de Física Fundamental; Consejo Superior de Investigaciones Científicas,1422-0067
Ren,Xueguang,https://orcid.org/0000-0001-6132-092X,Max Planck Institute for Nuclear Physics,1422-0067
Dorn,Alexander,https://orcid.org/0000-0002-8024-224X,Max Planck Institute for Nuclear Physics,1422-0067
Limão-Vieira,P.,https://orcid.org/0000-0003-2696-1152,Cheikh Anta Diop University,1422-0067
Blanco,F.,https://orcid.org/0000-0003-4332-434X,Universidad Complutense de Madrid,1422-0067
Oller,J. C.,https://orcid.org/0000-0002-2754-2788,Centro de Investigaciones Energéticas Medioambientales y Tecnológicas,1422-0067
Muñoz,A.,https://orcid.org/0000-0002-0621-0127,Centro de Investigaciones Energéticas Medioambientales y Tecnológicas,1422-0067
García-Abenza,Adrián,https://orcid.org/0000-0003-3843-0578,Instituto de Física Fundamental; Consejo Superior de Investigaciones Científicas,1422-0067
Gorfinkiel,Jimena D.,https://orcid.org/0000-0001-9264-3932,The Open University,1422-0067
Barbosa,Alessandra Souza,https://orcid.org/0000-0001-7989-1878,Universidade Federal do Paraná,1422-0067
Bettega,M. H. F.,https://orcid.org/0000-0001-9322-1360,Universidade Federal do Paraná,1422-0067
Stokes,Peter W.,https://orcid.org/0000-0002-0956-5927,James Cook University,1422-0067
White,Ronald D.,https://orcid.org/0000-0001-5353-7440,James Cook University,1422-0067
Jones,D. B.,https://orcid.org/0000-0001-7425-7157,Flinders University,1422-0067
Brunger,M. J.,https://orcid.org/0000-0002-7743-2990,Flinders University; UCSI University,1422-0067
Garcı́a,G.,https://orcid.org/0000-0003-4033-4518,University of Wollongong; Instituto de Física Fundamental; Consejo Superior de Investigaciones Científicas,1422-0067
Chang,Ching-Wei,NONE,National Yang Ming Chiao Tung University; Mackay Memorial Hospital; Mackay Medical College; Mackay Junior College of Medicine Nursing and Management,1422-0067
Lee,Hung-Chang,NONE,Mackay Memorial Hospital; Mackay Medical College; Mackay Junior College of Medicine Nursing and Management,1422-0067
Li,Li-Hui,NONE,Mackay Memorial Hospital,1422-0067
Chiau,Jen‐Shiu Chiang,https://orcid.org/0000-0002-3680-5703,Mackay Memorial Hospital,1422-0067
Wang,Tsang-En,NONE,Mackay Memorial Hospital; Mackay Medical College; Mackay Junior College of Medicine Nursing and Management,1422-0067
Chuang,Wei-Hung,NONE,National Yang Ming Chiao Tung University,1422-0067
Chen,Ming-Jen,NONE,Mackay Memorial Hospital; Mackay Medical College; Mackay Junior College of Medicine Nursing and Management,1422-0067
Wang,Horng-Yuan,NONE,Mackay Memorial Hospital; Mackay Medical College; Mackay Junior College of Medicine Nursing and Management,1422-0067
Shih,Shou-Chuan,NONE,Mackay Junior College of Medicine Nursing and Management; Mackay Memorial Hospital; Mackay Medical College,1422-0067
Liu,Chia-Yuan,https://orcid.org/0000-0002-5660-719X,National Yang Ming Chiao Tung University; Mackay Memorial Hospital; Mackay Medical College; Mackay Junior College of Medicine Nursing and Management,1422-0067
Tsai,Tung‐Hu,https://orcid.org/0000-0002-9007-2547,National Yang Ming Chiao Tung University; National United University,1422-0067
Chen,Yu-Jen,https://orcid.org/0000-0001-9794-8938,Mackay Memorial Hospital; Mackay Medical College; Mackay Junior College of Medicine Nursing and Management; National Yang Ming Chiao Tung University,1422-0067
Bartha,Áron,https://orcid.org/0000-0003-0395-243X,Semmelweis University; HUN-REN Research Centre for Natural Sciences,1422-0067
Győrffy,Balázs,https://orcid.org/0000-0002-5772-3766,Semmelweis University; HUN-REN Research Centre for Natural Sciences,1422-0067
Ghasemi,Mahshid,https://orcid.org/0000-0002-3967-3451,University of South Australia,1422-0067
Turnbull,Tyron,https://orcid.org/0000-0001-6044-9705,University of South Australia,1422-0067
Sebastian,Sonia,https://orcid.org/0000-0002-0412-0195,University of South Australia,1422-0067
Kempson,Ivan M.,https://orcid.org/0000-0002-3886-9516,University of South Australia,1422-0067
Nasiri‐Ansari,Narjes,https://orcid.org/0000-0002-0116-693X,National and Kapodistrian University of Athens,1422-0067
Nikolopoulou,Chrysa,NONE,National and Kapodistrian University of Athens,1422-0067
Papoutsi,Katerina,NONE,National and Kapodistrian University of Athens,1422-0067
Kyrou,Ioannis,https://orcid.org/0000-0002-6997-3439,University Hospitals Coventry and Warwickshire NHS Trust; Aston University; University of Warwick,1422-0067
Mantzoros,Christos S.,https://orcid.org/0000-0003-3755-8158,Beth Israel Deaconess Medical Center; Harvard University; VA Boston Healthcare System,1422-0067
Kyriakopoulos,Georgios,https://orcid.org/0000-0002-5853-5361,National and Kapodistrian University of Athens; Evangelismos Hospital,1422-0067
Chatzigeorgiou,Antonios,https://orcid.org/0000-0002-7039-4223,National and Kapodistrian University of Athens,1422-0067
Kalotychou,Vassiliki,NONE,Laiko General Hospital of Athens; National and Kapodistrian University of Athens,1422-0067
Randeva,Manpal S.,NONE,NONE,1422-0067
Chatha,Kamaljit,https://orcid.org/0000-0002-9562-9180,University Hospitals Coventry and Warwickshire NHS Trust,1422-0067
Kontzoglou,Konstantinos,https://orcid.org/0000-0003-3383-0636,National and Kapodistrian University of Athens,1422-0067
Kaltsas,Gregory,https://orcid.org/0000-0002-5876-7883,Laiko General Hospital of Athens; National and Kapodistrian University of Athens,1422-0067
Papavassiliou,Athanasios G.,https://orcid.org/0000-0001-5803-4527,National and Kapodistrian University of Athens,1422-0067
Randeva,Harpal S.,https://orcid.org/0000-0001-9438-7506,University Hospitals Coventry and Warwickshire NHS Trust; University of Warwick,1422-0067
Kassi,Eva,https://orcid.org/0000-0001-7491-2297,National and Kapodistrian University of Athens; Laiko General Hospital of Athens,1422-0067
Gozalbo‐Rovira,Roberto,https://orcid.org/0000-0003-3427-3800,Universitat de València; Instituto de Agroquímica y Tecnología de Alimentos,1422-0067
Rubio‐del‐Campo,Antonio,https://orcid.org/0000-0002-8482-2778,Universitat de València; Instituto de Agroquímica y Tecnología de Alimentos,1422-0067
Santiso-Bellón,Cristina,https://orcid.org/0000-0003-1698-5062,Universitat de València,1422-0067
Vila-Vicent,Susana,NONE,Universitat de València,1422-0067
Buesa,Javier,https://orcid.org/0000-0002-3328-3428,Universitat de València; Hospital Clínico Universitario de Valencia; INCLIVA Health Research Institute,1422-0067
Delgado,Susana,https://orcid.org/0000-0002-1081-2614,Instituto de Productos Lácteos de Asturias,1422-0067
Molinero,Natalia,https://orcid.org/0000-0002-9710-7335,Instituto de Productos Lácteos de Asturias,1422-0067
